frame,dt,system_id,bodies,total_mass,max_r,inner_count,mid_count,outer_count,inner_avg_mass,mid_avg_mass,outer_avg_mass,inner_avg_radius,outer_avg_radius,inner_avg_size,outer_avg_size,inner_osc_ratio,mid_osc_ratio,outer_osc_ratio,merges,elastics
31376070,0.065000,4,9560,1514.553955,1843.869629,4108,4375,1077,0.146393,0.154971,0.218389,304.194214,1408.992065,0.038448,0.032137,0.959823,1.154526,0.433177,0,0
31376100,0.065000,4,9560,1514.554688,1844.062012,4102,4377,1081,0.146345,0.155095,0.217784,304.210236,1409.057373,0.038450,0.032120,0.950000,1.132857,0.433365,0,0
31376130,0.065000,4,9560,1514.557617,1844.222168,4095,4385,1080,0.146354,0.155330,0.216799,304.130951,1409.948364,0.038442,0.032082,1.061506,1.165359,0.431418,0,0
31376160,0.065000,4,9560,1514.562622,1844.347046,4087,4389,1084,0.146281,0.155446,0.216309,303.964935,1410.006348,0.038438,0.032077,0.932854,1.131918,0.433884,0,0
31376190,0.065000,4,9560,1514.568848,1844.434814,4078,4396,1086,0.146209,0.155644,0.215588,303.728241,1410.396118,0.038437,0.032050,0.939640,1.137591,0.433812,0,0
31376220,0.065000,4,9560,1514.574219,1844.475708,4079,4387,1094,0.146154,0.155611,0.215497,304.254211,1409.802734,0.038431,0.032054,1.013036,1.132492,0.434909,0,0
31376250,0.065000,4,9560,1514.579590,1844.466187,4073,4386,1101,0.146194,0.155618,0.214888,304.245087,1409.377441,0.038444,0.032043,0.950266,1.132614,0.434679,0,0
31376280,0.065000,4,9560,1514.583374,1844.406982,4073,4381,1106,0.146291,0.155728,0.213824,304.686493,1409.281128,0.038438,0.032012,0.972525,1.137465,0.436825,0,0
31376310,0.065000,4,9560,1514.586670,1844.304321,4072,4377,1111,0.146188,0.155936,0.213113,305.056610,1409.187988,0.038430,0.031992,0.943254,1.134942,0.437588,0,0
31376340,0.065000,4,9560,1514.589844,1844.151489,4067,4375,1118,0.146284,0.156068,0.211843,305.152679,1408.771240,0.038441,0.031960,0.955658,1.130729,0.439138,0,0
31376370,0.065000,4,9560,1514.593628,1843.957275,4054,4388,1118,0.146166,0.156451,0.210657,304.667328,1409.487061,0.038443,0.031910,0.950700,1.131671,0.438778,0,0
