frame,dt,system_id,bodies,total_mass,max_r,inner_count,mid_count,outer_count,inner_avg_mass,mid_avg_mass,outer_avg_mass,inner_avg_radius,outer_avg_radius,inner_avg_size,outer_avg_size,inner_osc_ratio,mid_osc_ratio,outer_osc_ratio,merges,elastics
32625030,0.065000,3,6102,878.899841,1878.580811,713,4542,847,0.142113,0.147030,0.129583,548.961060,1415.167480,0.036582,0.033266,0.818126,1.046684,0.935975,0,0
32625060,0.065000,3,6102,878.899841,1884.473145,727,4538,837,0.143690,0.146794,0.129366,551.230286,1419.709106,0.036626,0.033205,0.825610,1.055002,0.939275,0,0
32625090,0.065000,3,6102,878.899841,1890.357666,731,4537,834,0.142523,0.147054,0.128928,552.422302,1422.925781,0.036522,0.033180,0.798917,1.064373,0.944219,0,0
32625120,0.065000,3,6102,878.899902,1896.236328,744,4529,829,0.141545,0.147069,0.129682,554.524048,1426.565186,0.036491,0.033199,0.830916,1.057062,0.950374,0,0
32625150,0.065000,3,6102,878.899902,1902.107544,759,4512,831,0.140354,0.147409,0.129068,556.804138,1428.849976,0.036508,0.033170,0.789689,1.030209,0.955959,0,0
32625180,0.065000,3,6102,878.899780,1907.973145,771,4507,824,0.140363,0.147366,0.129240,558.741760,1432.899780,0.036546,0.033160,0.793190,1.025230,0.962759,0,0
32625210,0.065000,3,6102,878.899780,1913.834473,780,4508,814,0.139926,0.147453,0.129032,560.360291,1437.566162,0.036547,0.033087,0.791562,1.061130,0.975698,0,0
32625240,0.065000,3,6102,878.899780,1919.687622,786,4505,811,0.140807,0.147279,0.129131,561.670532,1440.874878,0.036582,0.033090,0.797371,1.038698,0.992745,0,0
32625270,0.065000,3,6102,878.899841,1925.535767,804,4497,801,0.140278,0.147409,0.128852,564.135986,1445.582520,0.036555,0.033069,0.770950,1.058828,0.967436,0,0
32625300,0.065000,3,6102,878.899902,1931.376587,813,4490,799,0.140410,0.147383,0.128895,565.675537,1448.683960,0.036529,0.033068,0.754720,1.068111,0.966580,0,0
32625330,0.065000,3,6102,878.899841,1937.213989,822,4492,788,0.140568,0.147375,0.128600,567.202393,1453.625366,0.036537,0.032990,0.732271,1.053990,0.974054,0,0
32625360,0.065000,3,6102,878.899780,1943.044189,828,4495,779,0.140539,0.147364,0.128529,568.410767,1458.202515,0.036529,0.032931,0.733210,1.062621,0.973855,0,0
32625390,0.065000,3,6102,878.899597,1948.868042,834,4497,771,0.140558,0.147407,0.128118,569.620178,1462.617554,0.036528,0.032889,0.750881,1.065187,0.974218,0,0
32625420,0.065000,3,6102,878.899597,1954.685913,843,4492,767,0.140581,0.147350,0.128405,571.113953,1466.187256,0.036507,0.032873,0.763616,1.096027,0.973845,0,0
32625450,0.065000,3,6101,878.899658,1960.499146,852,4487,762,0.141017,0.147333,0.128168,572.630981,1469.963379,0.036505,0.032829,0.898973,1.096812,0.978548,0,0
32625480,0.065000,3,6101,878.899719,1966.305298,862,4479,760,0.140373,0.147422,0.128406,574.201050,1473.095947,0.036468,0.032838,0.800004,1.124065,0.979988,0,0
32625510,0.065000,3,6101,878.899597,1972.104736,872,4477,752,0.140862,0.147351,0.128152,575.756287,1477.533203,0.036478,0.032773,0.816131,1.277912,0.986335,0,0
32625540,0.065000,3,6101,878.899597,1977.901611,872,4481,748,0.140915,0.147329,0.128118,576.389221,1481.122437,0.036495,0.032742,0.794772,1.144899,0.987028,0,0
32625570,0.065000,3,6101,878.899658,1983.690308,876,4480,745,0.140639,0.147443,0.127714,577.397217,1484.498657,0.036476,0.032685,0.788173,1.130364,0.990126,0,0
32625600,0.065000,3,6101,878.899597,1989.474976,879,4481,741,0.140581,0.147445,0.127694,578.329956,1488.096680,0.036470,0.032643,0.772376,1.157259,0.991779,0,0
32625630,0.065000,3,6101,878.899719,1995.253296,881,4486,734,0.140377,0.147813,0.125518,579.188599,1492.360718,0.036456,0.032608,0.754206,1.127680,0.980712,0,0
32625660,0.065000,3,6101,878.899719,2001.026245,885,4489,727,0.139846,0.147847,0.125782,580.266968,1496.648926,0.036441,0.032602,0.760505,1.124990,0.981775,0,0
32625690,0.065000,3,6101,878.899719,2006.794556,891,4488,722,0.139868,0.147923,0.125194,581.571472,1500.511597,0.036431,0.032503,0.743257,1.153177,0.983521,0,0
32625720,0.065000,3,6101,878.899597,2012.554443,895,4491,715,0.139977,0.148003,0.124379,582.708923,1504.852051,0.036409,0.032474,0.750637,1.147612,0.987895,0,0
32625750,0.065000,3,6101,878.899536,2018.311523,904,4490,707,0.141065,0.147647,0.125081,584.357300,1509.462891,0.036338,0.032515,0.759491,1.137144,0.986580,0,0
32625780,0.065000,3,6101,878.899536,2024.062378,908,4491,702,0.142003,0.147407,0.125285,585.529846,1513.405762,0.036287,0.032522,0.740828,1.151436,0.985082,0,0
32625810,0.065000,3,6101,878.899414,2029.807007,917,4490,694,0.141632,0.147683,0.123801,587.202515,1518.082153,0.036225,0.032581,0.750745,1.154871,0.982824,0,0
32625840,0.065000,3,6101,878.899231,2035.548218,926,4489,686,0.143522,0.147140,0.124605,588.875671,1522.814453,0.036138,0.032600,0.754147,1.123329,0.980255,0,0
32625870,0.065000,3,6101,878.899109,2041.283569,935,4489,677,0.142884,0.147236,0.124598,590.541870,1527.837769,0.036082,0.032616,0.737816,1.118720,0.979072,0,0
32625900,0.065000,3,6101,878.899048,2047.012939,940,4491,670,0.142999,0.147080,0.125278,591.820679,1532.424805,0.036086,0.032657,0.738270,1.112589,0.975810,0,0
32625930,0.065000,3,6101,878.898987,2052.738770,946,4493,662,0.142771,0.147076,0.125407,593.212341,1537.309326,0.036066,0.032632,0.726097,1.110022,0.976709,0,0
32625960,0.065000,3,6101,878.898499,2058.458984,952,4494,655,0.142739,0.147012,0.125699,594.604675,1541.967896,0.036068,0.032673,0.712028,1.107876,0.974471,0,0
32625990,0.065000,3,6101,878.898499,2064.172607,959,4488,654,0.142430,0.147077,0.125720,596.091248,1545.081543,0.036039,0.032673,0.704089,1.124548,0.967349,0,0
32626020,0.065000,3,6101,878.898254,2069.882812,962,4488,651,0.142658,0.146985,0.125937,597.197632,1548.702637,0.036070,0.032687,0.734019,1.134231,0.962877,0,0
32626050,0.065000,3,6101,878.898438,2075.586670,972,4483,646,0.142531,0.146980,0.126066,598.974670,1552.838867,0.036031,0.032684,0.768259,1.145030,0.960329,0,0
32626080,0.065000,3,6101,878.898376,2081.284912,978,4481,642,0.142391,0.146915,0.126645,600.364624,1556.727661,0.036041,0.032721,0.733410,1.110288,0.958478,0,0
32626110,0.065000,3,6100,878.898315,2086.978027,984,4478,638,0.142821,0.146780,0.127074,601.751831,1560.629150,0.036065,0.032726,0.726795,1.096769,0.957376,0,0
32626140,0.065000,3,6100,878.898315,2092.666748,990,4475,635,0.143058,0.146711,0.127138,603.154480,1564.258301,0.036066,0.032706,0.721209,1.102819,0.953420,0,0
32626170,0.065000,3,6100,878.898254,2098.349365,997,4473,630,0.142906,0.146752,0.126973,604.651550,1568.429199,0.036033,0.032717,0.733283,1.095526,0.949259,0,0
32626200,0.065000,3,6100,878.898254,2104.024902,1002,4471,627,0.142502,0.146819,0.127075,605.957214,1572.073853,0.036033,0.032717,0.730781,1.137619,0.951404,0,0
32626230,0.065000,3,6100,878.898315,2109.700439,1004,4473,623,0.142653,0.146783,0.126979,606.994324,1575.995728,0.036023,0.032740,0.753251,1.082429,0.961547,0,0
32626260,0.065000,3,6101,881.298279,2112.468262,1002,4474,625,0.142997,0.147144,0.127499,607.935242,1578.813110,0.036039,0.032758,0.804871,1.082275,0.957543,0,0
32626290,0.065000,3,6101,881.298401,2118.128662,1008,4471,622,0.143016,0.147109,0.127661,609.371765,1582.456665,0.036016,0.032764,0.730133,1.083646,0.957657,0,0
32626320,0.065000,3,6101,881.298584,2123.783691,1011,4475,615,0.143131,0.147254,0.126215,610.526550,1587.212280,0.036011,0.032722,0.718898,1.087223,0.965662,0,0
32626350,0.065000,3,6101,881.298462,2129.432617,1014,4478,609,0.144001,0.147378,0.123667,611.681885,1591.729126,0.036022,0.032780,0.750745,1.099306,0.969960,0,0
32626380,0.065000,3,6101,881.298523,2135.077881,1019,4478,604,0.144489,0.147015,0.125371,613.023499,1595.996216,0.036014,0.032843,0.727863,1.114845,0.979987,0,0
32626410,0.065000,3,6101,881.298523,2140.717285,1022,4481,598,0.145157,0.146973,0.124339,614.165833,1600.570312,0.036012,0.032963,0.743456,1.095376,0.980384,0,0
32626440,0.065000,3,6101,881.298401,2146.353271,1027,4481,593,0.145178,0.146978,0.124085,615.491760,1604.878174,0.035999,0.032972,0.738393,1.117167,0.982866,0,0
32626470,0.065000,3,6101,881.298584,2151.984863,1033,4481,587,0.144614,0.147083,0.124061,616.902466,1609.501831,0.035960,0.033004,0.782216,1.129599,0.986972,0,0
32626500,0.065000,3,6101,881.298401,2157.610107,1041,4477,583,0.146475,0.146661,0.123854,618.498413,1613.551392,0.035854,0.033005,0.724923,1.112634,0.988257,0,0
32626530,0.065000,3,6101,881.298340,2163.232422,1043,4479,579,0.146780,0.146602,0.123609,619.495361,1617.604004,0.035829,0.033003,0.715978,1.106195,0.990328,0,0
32626560,0.065000,3,6101,881.298218,2168.851807,1045,4479,577,0.146617,0.146604,0.123805,620.501526,1621.061523,0.035823,0.033019,0.750076,1.107737,0.989496,0,0
32626590,0.065000,3,6101,881.298096,2174.464355,1047,4482,572,0.147168,0.146638,0.122333,621.504761,1625.444580,0.035812,0.032999,0.724103,1.123080,0.987712,0,0
32626620,0.065000,3,6101,881.298279,2180.074219,1051,4481,569,0.147491,0.146516,0.122568,622.708984,1629.220703,0.035796,0.033016,0.686771,1.096534,0.989486,0,0
32626650,0.065000,3,6101,881.298218,2185.677246,1054,4482,565,0.147172,0.146626,0.122116,623.823059,1633.312012,0.035765,0.033009,0.682168,1.104679,0.990380,0,0
32626680,0.065000,3,6101,881.298218,2191.277100,1061,4477,563,0.147030,0.146597,0.122519,625.339722,1636.781982,0.035748,0.033049,0.690688,1.085919,0.992709,0,0
32626710,0.065000,3,6101,881.298340,2196.874512,1064,4477,560,0.147220,0.146475,0.123002,626.465149,1640.573120,0.035753,0.033079,0.675714,1.078450,0.998782,0,0
32626740,0.065000,3,6101,881.298340,2202.463623,1071,4474,556,0.146858,0.146500,0.123315,627.984558,1644.698120,0.035694,0.033087,0.675875,1.062063,1.002325,0,0
32626770,0.065000,3,6101,881.298279,2208.052979,1076,4473,552,0.146502,0.146600,0.123027,629.304565,1648.837891,0.035653,0.033098,0.657540,1.065773,1.005097,0,0
32626800,0.065000,3,6100,881.298157,2213.634766,1084,4466,550,0.147538,0.146435,0.122512,630.918579,1652.344971,0.035670,0.033090,0.651566,1.077506,1.005378,0,0
32626830,0.065000,3,6100,881.298035,2219.212646,1091,4459,550,0.147196,0.146516,0.122516,632.428162,1655.202393,0.035614,0.033091,0.661730,1.090892,1.005410,0,0
32626860,0.065000,3,6100,881.297974,2224.787598,1097,4456,547,0.146840,0.146565,0.122696,633.839600,1659.025146,0.035592,0.033086,0.680220,1.117623,1.006687,0,0
32626890,0.065000,3,6100,881.297852,2230.357910,1102,4457,541,0.147233,0.146380,0.123155,635.156921,1663.843384,0.035588,0.033106,0.677045,1.089271,1.010992,0,0
32626920,0.065000,3,6100,881.297913,2235.924561,1107,4456,537,0.146680,0.146501,0.123102,636.476074,1668.050171,0.035534,0.033087,0.678051,1.077551,1.016667,0,0
32626950,0.065000,3,6100,881.297913,2241.486328,1109,4459,532,0.146349,0.146526,0.123363,637.492432,1672.615845,0.035499,0.033067,0.684866,1.092844,1.019055,0,0
32626980,0.065000,3,6100,881.297974,2247.044434,1112,4462,526,0.146170,0.146542,0.123348,638.603516,1677.547729,0.035483,0.033052,0.691048,1.104771,1.020277,0,0
32627010,0.065000,3,6100,881.298096,2252.599609,1116,4464,520,0.146096,0.146557,0.123112,639.818970,1682.541870,0.035454,0.033049,0.750150,1.104161,1.026625,0,0
32627040,0.065000,3,6100,881.297974,2258.147705,1121,4465,514,0.146821,0.146464,0.122068,641.120972,1687.579834,0.035454,0.033032,0.689298,1.106448,1.025229,0,0
32627070,0.065000,3,6100,881.298096,2263.693359,1125,4466,509,0.147440,0.146386,0.121147,642.325867,1692.297729,0.035476,0.033015,0.702019,1.066532,1.027687,0,0
32627100,0.065000,3,6100,881.298035,2269.236328,1128,4464,508,0.147546,0.146330,0.121344,643.428406,1695.586060,0.035466,0.033034,0.662159,1.074291,1.026555,0,0
32627130,0.065000,3,6100,881.298035,2274.774414,1132,4461,507,0.147495,0.146236,0.122221,644.624390,1698.880615,0.035440,0.033052,0.672213,1.072746,1.026814,0,0
32627160,0.065000,3,6100,881.298218,2280.307373,1138,4456,506,0.147719,0.146243,0.121593,646.012268,1702.166626,0.035422,0.033039,0.657432,1.089219,1.026065,0,0
32627190,0.065000,3,6100,881.298218,2285.839844,1143,4456,501,0.147471,0.146303,0.121371,647.293457,1706.918945,0.035375,0.033023,0.665930,1.069847,1.030527,0,0
32627220,0.065000,3,6100,881.298218,2291.363281,1145,4454,501,0.147711,0.146161,0.122075,648.261597,1709.862305,0.035379,0.033023,0.669065,1.085920,1.028397,0,0
32627250,0.065000,3,6100,881.298340,2296.886230,1148,4455,497,0.147494,0.146207,0.121966,649.324280,1714.268188,0.035359,0.032995,0.694032,1.086915,1.031294,0,0
32627280,0.065000,3,6100,881.298523,2302.403564,1148,4456,496,0.147494,0.146179,0.122166,650.076294,1717.581909,0.035359,0.033015,0.667425,1.081872,1.029181,0,0
32627310,0.065000,3,6100,881.298340,2307.918701,1149,4458,493,0.147226,0.146280,0.121730,650.925232,1721.627686,0.035358,0.033019,0.703325,1.082927,1.025565,0,0
32627340,0.065000,3,6100,881.298401,2313.428955,1153,4454,493,0.146960,0.146358,0.121642,652.079041,1724.565552,0.035335,0.033010,0.717784,1.092449,1.025223,0,0
32627370,0.065000,3,6100,881.298523,2318.936279,1159,4452,489,0.146686,0.146410,0.121603,653.434265,1728.993042,0.035313,0.032993,0.656475,1.146380,1.027887,0,0
32627400,0.065000,3,6100,881.298523,2324.439941,1163,4450,487,0.146972,0.146334,0.121513,654.576721,1732.680298,0.035334,0.032976,0.663165,1.120207,1.027970,0,0
