frame,dt,system_id,bodies,total_mass,max_r,inner_count,mid_count,outer_count,inner_avg_mass,mid_avg_mass,outer_avg_mass,inner_avg_radius,outer_avg_radius,inner_avg_size,outer_avg_size,inner_osc_ratio,mid_osc_ratio,outer_osc_ratio,merges,elastics
65687760,0.065000,1,9433,1509.545654,2064.703857,1818,5025,2590,0.149957,0.154208,0.178404,174.960876,1525.790771,0.041881,0.035758,1.094151,0.543830,0.769636,0,0
65687790,0.065000,1,9432,1509.546509,2065.539795,1818,5021,2593,0.150081,0.154232,0.178302,174.317291,1527.024536,0.041885,0.035753,1.094735,0.544831,0.740440,0,0
65687820,0.065000,1,9432,1509.548706,2066.346680,1819,5014,2599,0.150126,0.154179,0.178318,173.463196,1528.065186,0.041888,0.035768,1.143397,0.548123,0.737914,0,0
65687850,0.065000,1,9432,1509.551636,2067.104736,1819,5011,2602,0.150126,0.154291,0.178076,172.565399,1529.266968,0.041888,0.035771,1.119706,0.546175,0.739849,0,0
65687880,0.065000,1,9431,1509.553833,2067.903564,1820,5001,2610,0.150167,0.154158,0.178289,171.976944,1530.164795,0.041891,0.035787,1.180143,0.544577,0.741683,0,0
65687910,0.065000,1,9431,1509.557373,2068.665527,1821,4991,2619,0.150208,0.154172,0.178152,171.365646,1531.006226,0.041894,0.035793,1.128495,0.543265,0.748594,0,0
65687940,0.065000,1,9430,1509.563721,2069.408936,1820,4979,2631,0.150290,0.153925,0.178510,170.435547,1531.661133,0.041895,0.035812,1.107189,0.547861,0.773992,0,0
65687970,0.065000,1,9430,1509.564697,2070.138184,1819,4972,2639,0.150312,0.153877,0.178511,169.113647,1532.544678,0.041901,0.035823,1.077724,0.545578,0.757796,0,0
65688000,0.065000,1,9430,1509.570190,2070.955078,1819,4971,2640,0.150335,0.153840,0.178554,168.233749,1533.828369,0.041903,0.035839,1.085721,0.548177,0.744380,0,0
65688030,0.065000,1,9430,1509.573242,2071.871582,1819,4970,2641,0.150335,0.153762,0.178692,167.532608,1535.109009,0.041903,0.035845,1.044460,0.552090,0.750355,0,0
65688060,0.065000,1,9430,1509.579468,2072.757080,1820,4962,2648,0.150362,0.154148,0.177885,167.087265,1536.033813,0.041904,0.035816,1.128840,0.554536,0.756196,0,0
65688090,0.065000,1,9430,1509.579224,2073.624023,1821,4955,2654,0.150338,0.154350,0.177472,166.603210,1537.009155,0.041903,0.035793,1.143581,0.544843,0.764453,0,0
65688120,0.065000,1,9430,1509.581909,2074.442627,1822,4945,2663,0.150364,0.154409,0.177270,165.858276,1537.807617,0.041904,0.035778,1.114474,0.544979,0.748750,0,1
65688150,0.065000,1,9430,1509.583130,2075.195801,1822,4939,2669,0.150364,0.154294,0.177431,165.192108,1538.779297,0.041904,0.035785,1.122385,0.539895,0.734628,0,0
65688180,0.065000,1,9430,1509.578369,2075.949463,1823,4935,2672,0.150385,0.154367,0.177255,165.121643,1539.906128,0.041905,0.035771,1.107031,0.539815,0.731571,0,0
65688210,0.065000,1,9430,1509.544800,2076.719727,1823,4938,2669,0.150385,0.154396,0.177228,164.505661,1541.376221,0.041905,0.035773,1.094501,0.541810,0.724613,0,0
65688240,0.065000,1,9430,1509.535522,2077.438477,1823,4935,2672,0.150385,0.154475,0.177057,163.803619,1542.490112,0.041905,0.035773,1.125527,0.541182,0.723699,0,1
65688270,0.065000,1,9430,1509.531372,2078.095703,1823,4929,2678,0.150385,0.154562,0.176846,163.169601,1543.428223,0.041905,0.035787,1.111350,0.538590,0.724746,0,0
65688300,0.065000,1,9429,1509.529907,2078.718506,1822,4927,2680,0.150468,0.154672,0.176627,162.650848,1544.604614,0.041906,0.035799,1.129494,0.538203,0.723929,0,0
65688330,0.065000,1,9429,1509.529053,2079.361816,1822,4917,2690,0.150468,0.154765,0.176376,162.219299,1545.300049,0.041906,0.035781,1.174042,0.536470,0.725927,0,0
65688360,0.065000,1,9429,1509.528442,2079.989502,1823,4913,2693,0.150525,0.154787,0.176275,161.788635,1546.405518,0.041911,0.035773,1.174771,0.536163,0.739669,0,0
65688390,0.065000,1,9428,1509.527222,2080.519287,1823,4907,2698,0.150524,0.154766,0.176330,161.111801,1547.389160,0.041911,0.035777,1.225488,0.536818,0.744085,0,0
65688420,0.065000,1,9428,1509.527222,2080.973389,1823,4895,2710,0.150524,0.154735,0.176290,160.685806,1547.953125,0.041911,0.035776,1.208584,0.534220,0.748346,0,0
65688450,0.065000,1,9428,1509.526733,2081.403564,1824,4889,2715,0.150500,0.154847,0.176067,160.443344,1548.929443,0.041910,0.035772,1.155789,0.531983,0.753417,0,0
65688480,0.065000,1,9428,1509.526245,2081.746094,1823,4892,2713,0.150341,0.155010,0.175894,159.875641,1550.319580,0.041911,0.035771,1.156872,0.532931,0.758042,0,0
