frame,dt,system_id,bodies,total_mass,max_r,inner_count,mid_count,outer_count,inner_avg_mass,mid_avg_mass,outer_avg_mass,inner_avg_radius,outer_avg_radius,inner_avg_size,outer_avg_size,inner_osc_ratio,mid_osc_ratio,outer_osc_ratio,merges,elastics
31373670,0.065000,4,9569,1504.933105,1814.596191,4959,3798,812,0.152086,0.138636,0.276182,301.529327,1390.684326,0.039102,0.034136,0.954548,0.772314,0.357517,0,0
31373700,0.065000,4,9569,1504.933350,1816.227783,4948,3810,811,0.152267,0.138739,0.274947,301.790253,1391.715454,0.039104,0.034090,0.982340,0.776543,0.357568,0,0
31373730,0.065000,4,9569,1504.933228,1817.835449,4941,3814,814,0.152383,0.138486,0.275037,302.291138,1391.858765,0.039113,0.034091,0.942837,0.782103,0.357512,0,0
31373760,0.065000,4,9569,1504.932739,1819.419800,4935,3819,815,0.152638,0.138209,0.274728,302.849121,1392.437744,0.039122,0.034079,0.948004,0.786537,0.357267,0,0
31373790,0.065000,4,9569,1504.932617,1820.979492,4918,3836,815,0.152847,0.138007,0.274718,302.717926,1393.232422,0.039135,0.034078,0.943252,0.791927,0.356971,0,0
31373820,0.065000,4,9569,1504.932617,1822.513916,4921,3834,814,0.152915,0.137871,0.275061,303.810364,1394.242920,0.039122,0.034094,0.962340,0.794478,0.356275,0,0
31373850,0.065000,4,9569,1504.932617,1824.027344,4920,3836,813,0.152891,0.137995,0.274808,304.655853,1395.248901,0.039120,0.034081,0.966501,0.796941,0.355415,0,0
31373880,0.065000,4,9567,1504.932861,1825.513672,4912,3841,814,0.152814,0.138227,0.274496,305.265381,1395.814331,0.039106,0.034069,0.961191,0.800668,0.355707,0,0
31373910,0.065000,4,9567,1504.932983,1826.971924,4911,3837,819,0.152733,0.138369,0.273506,306.107758,1395.509644,0.039089,0.034032,0.931378,0.805066,0.356706,0,0
31373940,0.065000,4,9567,1504.932617,1828.406250,4911,3833,823,0.153081,0.137832,0.273269,307.000854,1395.433838,0.039078,0.034019,0.936619,0.809666,0.361191,0,0
31373970,0.065000,4,9567,1504.932373,1829.816284,4905,3835,827,0.153141,0.137793,0.272549,307.528351,1395.380127,0.039072,0.033989,0.987088,0.816951,0.362583,0,0
31374000,0.065000,4,9567,1504.932251,1831.196289,4911,3822,834,0.153277,0.137586,0.271459,308.791840,1394.715576,0.039047,0.033946,0.980984,0.825604,0.365870,0,0
31374030,0.065000,4,9566,1504.932129,1832.549561,4894,3834,838,0.153000,0.138052,0.270786,308.736298,1394.701660,0.039029,0.033920,0.974824,0.835256,0.366579,0,0
31374060,0.065000,4,9566,1504.932007,1833.872314,4886,3835,845,0.153000,0.138290,0.268747,309.133240,1394.088013,0.039022,0.033841,0.962836,0.840364,0.369194,0,0
31374090,0.065000,4,9566,1504.932129,1835.168945,4879,3841,846,0.152888,0.138473,0.268532,309.589142,1394.719238,0.039003,0.033837,0.988152,0.845483,0.368059,0,0
31374120,0.065000,4,9566,1504.931885,1836.432739,4873,3844,849,0.152928,0.138429,0.268140,310.106964,1394.939209,0.038995,0.033820,0.968422,0.851207,0.369040,0,0
31374150,0.065000,4,9566,1504.931519,1837.659912,4866,3849,851,0.153141,0.138359,0.267055,310.557220,1395.377075,0.038994,0.033777,0.997424,0.858963,0.369909,0,0
31374180,0.065000,4,9565,1504.931519,1838.858765,4867,3845,853,0.153027,0.138592,0.266501,311.588745,1395.817261,0.038977,0.033757,0.958983,0.875204,0.371282,0,0
31374210,0.065000,4,9565,1504.931641,1840.020630,4867,3842,856,0.153005,0.138710,0.265648,312.441895,1396.065186,0.038961,0.033723,0.942978,0.874203,0.372062,0,0
31374240,0.065000,4,9566,1507.331665,1841.971069,4859,3850,857,0.153528,0.138477,0.266349,312.484100,1396.790283,0.038942,0.033750,0.959189,0.874905,0.371824,0,0
31374270,0.065000,4,9566,1507.331543,1843.060669,4843,3867,856,0.153378,0.138922,0.265623,312.320618,1397.820190,0.038932,0.033721,0.965032,0.878135,0.372265,0,0
31374300,0.065000,4,9566,1507.331543,1844.115723,4830,3878,858,0.153479,0.138799,0.265535,312.337616,1398.260254,0.038931,0.033716,0.941538,0.877914,0.373217,0,0
31374330,0.065000,4,9566,1507.330933,1845.128418,4822,3881,863,0.153558,0.138877,0.264141,312.667053,1398.119385,0.038912,0.033662,0.965465,0.882814,0.376078,0,0
31374360,0.065000,4,9565,1507.330200,1846.102295,4819,3884,862,0.153571,0.138879,0.264418,313.396881,1399.149780,0.038896,0.033673,0.956921,0.886931,0.375189,0,0
31374390,0.065000,4,9565,1507.330688,1847.024048,4811,3891,863,0.153444,0.139098,0.264129,313.689423,1399.775513,0.038881,0.033661,0.943019,0.896065,0.374791,0,0
