frame,dt,system_id,bodies,total_mass,max_r,inner_count,mid_count,outer_count,inner_avg_mass,mid_avg_mass,outer_avg_mass,inner_avg_radius,outer_avg_radius,inner_avg_size,outer_avg_size,inner_osc_ratio,mid_osc_ratio,outer_osc_ratio,merges,elastics
65690220,0.065000,1,9421,1511.930176,2247.138184,1886,5069,2466,0.150531,0.158787,0.171609,177.765015,1632.250488,0.041748,0.035653,0.997598,0.560197,0.854370,0,0
65690250,0.065000,1,9421,1511.930176,2250.809814,1886,5084,2451,0.150531,0.158959,0.171331,177.477158,1634.117432,0.041748,0.035652,0.978003,0.557064,0.919632,0,0
65690280,0.065000,1,9421,1511.930908,2254.393555,1888,5103,2430,0.150484,0.159374,0.170611,178.165253,1636.321411,0.041746,0.035675,0.925640,0.558168,0.834097,0,0
65690310,0.065000,1,9421,1511.931274,2258.016846,1891,5110,2420,0.150395,0.159457,0.170562,179.015976,1637.909302,0.041734,0.035688,0.885347,0.560400,0.830335,0,0
65690340,0.065000,1,9421,1511.931763,2261.682861,1891,5130,2400,0.150395,0.159618,0.170310,178.872360,1640.030396,0.041734,0.035701,0.906043,0.570864,0.836172,0,0
65690370,0.065000,1,9421,1511.931152,2265.324951,1893,5149,2379,0.150554,0.159685,0.170140,179.333054,1642.213257,0.041731,0.035709,0.990949,0.557448,0.892338,0,0
65690400,0.065000,1,9421,1511.931152,2268.894043,1895,5177,2349,0.150563,0.160277,0.168971,179.981750,1644.909424,0.041735,0.035697,0.887395,0.552112,0.865774,0,0
65690430,0.065000,1,9421,1511.930542,2272.404053,1896,5199,2326,0.150540,0.160367,0.168879,180.218079,1647.238770,0.041734,0.035665,0.923407,0.550904,0.872195,0,0
65690460,0.065000,1,9421,1511.930664,2275.866943,1897,5213,2311,0.150553,0.160384,0.168888,180.647324,1649.119995,0.041733,0.035649,0.939704,0.551924,0.866810,0,0
65690490,0.065000,1,9421,1511.930908,2279.336914,1898,5231,2292,0.150523,0.160437,0.168868,181.066330,1651.224243,0.041728,0.035642,0.929870,0.569804,0.835778,0,0
65690520,0.065000,1,9421,1511.930664,2282.861572,1900,5252,2269,0.150445,0.160625,0.168591,181.925385,1653.560669,0.041719,0.035618,0.894080,0.554773,0.819743,0,0
65690550,0.065000,1,9421,1511.930786,2286.339600,1905,5272,2244,0.150283,0.160702,0.168660,183.615967,1656.036377,0.041706,0.035601,0.908518,0.556914,0.811881,0,0
65690580,0.065000,1,9421,1511.930298,2289.930420,1910,5285,2226,0.150265,0.160960,0.168150,184.763565,1658.095581,0.041707,0.035563,0.931246,0.565138,0.837680,0,0
65690610,0.065000,1,9421,1511.930176,2293.515869,1911,5305,2205,0.150241,0.160976,0.168205,184.707504,1660.337036,0.041706,0.035563,0.891686,0.586130,0.822228,0,0
65690640,0.065000,1,9421,1511.930054,2297.037598,1919,5320,2182,0.150316,0.161121,0.167901,186.772980,1662.707520,0.041695,0.035600,0.974988,0.577111,0.814164,0,0
65690670,0.065000,1,9421,1511.930176,2300.480713,1921,5346,2154,0.150255,0.161185,0.167896,187.285583,1665.406006,0.041688,0.035612,0.895030,0.570582,0.825989,0,0
65690700,0.065000,1,9421,1511.930420,2303.912109,1926,5368,2127,0.150208,0.161518,0.167208,188.605835,1668.078003,0.041661,0.035604,0.860422,0.572347,0.905337,0,0
65690730,0.065000,1,9420,1511.931396,2307.328857,1929,5390,2101,0.150618,0.161668,0.166610,189.682037,1670.711060,0.041670,0.035589,0.904296,0.567205,0.865536,0,0
65690760,0.065000,1,9420,1511.932129,2310.718994,1931,5409,2080,0.150749,0.161769,0.166286,190.132538,1673.051025,0.041665,0.035589,0.926427,0.567011,0.802025,0,0
65690790,0.065000,1,9420,1511.931763,2314.048340,1933,5419,2068,0.150700,0.161762,0.166388,190.813583,1674.835571,0.041659,0.035586,0.919266,0.569477,0.769646,0,0
65690820,0.065000,1,9420,1511.932495,2317.430420,1936,5437,2047,0.150516,0.161767,0.166613,191.661530,1677.193359,0.041634,0.035608,0.914185,0.567210,0.756183,0,1
65690850,0.065000,1,9420,1511.932251,2320.835205,1940,5452,2028,0.150830,0.161811,0.166262,192.631424,1679.429199,0.041633,0.035618,0.887770,0.565247,0.804471,0,0
65690880,0.065000,1,9420,1511.932007,2324.207275,1942,5463,2015,0.150784,0.161883,0.166149,193.096786,1681.280518,0.041631,0.035619,0.915358,0.566373,0.746980,0,0
65690910,0.065000,1,9420,1511.932373,2327.517578,1943,5485,1992,0.150772,0.162008,0.165871,193.515472,1683.796753,0.041628,0.035640,0.903475,0.569662,0.749785,0,0
65690940,0.065000,1,9420,1511.932495,2330.876465,1947,5499,1974,0.150616,0.162203,0.165542,194.701691,1685.996460,0.041604,0.035657,0.887352,0.587739,0.762308,0,0
