frame,dt,system_id,bodies,total_mass,max_r,inner_count,mid_count,outer_count,inner_avg_mass,mid_avg_mass,outer_avg_mass,inner_avg_radius,outer_avg_radius,inner_avg_size,outer_avg_size,inner_osc_ratio,mid_osc_ratio,outer_osc_ratio,merges,elastics
31380930,0.065000,4,9545,1519.356323,1912.992310,3155,4113,2277,0.136166,0.165608,0.179468,285.395508,1432.135742,0.038391,0.035134,0.920020,1.174482,1.216937,0,0
31380960,0.065000,4,9545,1519.355835,1913.485596,3151,4112,2282,0.136223,0.165579,0.179359,285.244781,1433.616089,0.038400,0.035129,0.928961,1.178135,1.213015,0,0
31380990,0.065000,4,9543,1519.354980,1913.937012,3142,4112,2289,0.136401,0.165573,0.179112,284.897430,1434.971558,0.038409,0.035108,1.018780,1.185846,1.220248,0,0
31381020,0.065000,4,9543,1519.354614,1914.379761,3130,4109,2304,0.136359,0.165474,0.179107,283.870300,1435.780273,0.038431,0.035115,0.948753,1.189278,1.215109,0,0
31381050,0.065000,4,9543,1519.355103,1914.817505,3127,4104,2312,0.136565,0.165021,0.179547,283.831329,1437.074951,0.038446,0.035134,0.948511,1.206078,1.212808,0,0
31381080,0.065000,4,9543,1519.353882,1915.232788,3119,4105,2319,0.136637,0.164822,0.179660,283.190491,1438.435791,0.038459,0.035145,0.936940,1.219585,1.207096,0,0
31381110,0.065000,4,9543,1519.354370,1915.629272,3115,4097,2331,0.136472,0.164824,0.179752,282.974762,1439.436890,0.038462,0.035138,0.902115,1.263305,1.220317,0,0
31381140,0.065000,4,9543,1519.355347,1916.009766,3115,4092,2336,0.136628,0.164481,0.180112,283.249908,1440.916626,0.038461,0.035153,0.965499,1.227152,1.253980,0,0
31381170,0.065000,4,9543,1519.355469,1916.374023,3108,4090,2345,0.136839,0.164264,0.180069,282.759338,1442.116821,0.038467,0.035172,0.993805,1.228745,1.227538,0,0
31381200,0.065000,4,9543,1519.355347,1916.706177,3106,4083,2354,0.136826,0.164214,0.180089,282.844696,1443.322266,0.038467,0.035192,0.978521,1.230044,1.237297,0,0
31381230,0.065000,4,9543,1519.355225,1917.011963,3102,4086,2355,0.137056,0.164221,0.179720,282.707031,1445.083008,0.038476,0.035183,0.957523,1.244697,1.232240,0,0
31381260,0.065000,4,9543,1519.354248,1917.297974,3097,4076,2370,0.137123,0.164057,0.179760,282.467194,1445.853638,0.038487,0.035175,1.012549,1.249004,1.242816,0,0
31381290,0.065000,4,9543,1519.355469,1917.564087,3084,4087,2372,0.137409,0.163988,0.179345,281.295105,1447.556274,0.038517,0.035163,1.015579,1.253638,1.239300,0,0
31381320,0.065000,4,9543,1519.355957,1917.804443,3075,4098,2370,0.137523,0.163849,0.179351,280.575623,1449.546997,0.038535,0.035174,0.963350,1.249468,1.315306,0,0
31381350,0.065000,4,9543,1519.355469,1918.018555,3072,4091,2380,0.137554,0.163967,0.179008,280.597504,1450.674194,0.038541,0.035165,0.914120,1.255469,1.265121,0,0
31381380,0.065000,4,9543,1519.355713,1918.209717,3065,4091,2387,0.137688,0.163957,0.178733,280.160126,1452.017944,0.038560,0.035165,0.910143,1.256653,1.287330,0,0
31381410,0.065000,4,9543,1519.356689,1918.381714,3061,4090,2392,0.137851,0.163643,0.178986,280.071350,1453.500732,0.038570,0.035180,0.920727,1.268693,1.249683,0,0
31381440,0.065000,4,9543,1519.356689,1918.541260,3053,4089,2401,0.137888,0.163760,0.178596,279.492706,1454.687988,0.038577,0.035176,0.926708,1.273113,1.237657,0,0
31381470,0.065000,4,9543,1519.357788,1918.688721,3047,4083,2413,0.137979,0.163725,0.178404,279.090759,1455.646484,0.038580,0.035174,0.934506,1.264957,1.238961,0,0
31381500,0.065000,4,9543,1519.358765,1918.826660,3042,4072,2429,0.138287,0.163644,0.178004,278.766937,1456.312744,0.038608,0.035160,0.989309,1.269084,1.209552,0,0
31381530,0.065000,4,9543,1519.359497,1918.947266,3038,4062,2443,0.138451,0.163614,0.177725,278.583527,1457.128296,0.038608,0.035151,0.981287,1.258377,1.215023,0,0
31381560,0.065000,4,9543,1519.359375,1919.053345,3036,4055,2452,0.138456,0.163423,0.177963,278.700134,1458.311523,0.038607,0.035178,0.976012,1.246825,1.217925,0,0
31381590,0.065000,4,9543,1519.359131,1919.119995,3034,4048,2461,0.138472,0.163417,0.177880,278.836273,1459.494873,0.038607,0.035179,1.001329,1.245608,1.220451,0,0
31381620,0.065000,4,9543,1519.360474,1919.183350,3028,4049,2466,0.138644,0.163350,0.177688,278.487732,1460.958252,0.038623,0.035170,0.934583,1.262221,1.229841,0,0
31381650,0.065000,4,9543,1519.361206,1919.226440,3019,4050,2474,0.138778,0.163186,0.177657,277.763733,1462.193359,0.038637,0.035164,0.985489,1.250455,1.240871,0,0
31381680,0.065000,4,9541,1519.362549,1919.244995,3011,4048,2482,0.138909,0.163059,0.177711,277.405273,1463.412842,0.038634,0.035177,1.069010,1.248706,1.261330,0,0
31381710,0.065000,4,9541,1519.362915,1919.256836,3005,4040,2496,0.138833,0.163456,0.177021,277.002197,1464.185791,0.038630,0.035152,0.952228,1.252039,1.378756,0,0
31381740,0.065000,4,9541,1519.363403,1919.278320,2994,4044,2503,0.139133,0.163339,0.176703,275.991455,1465.465088,0.038670,0.035146,0.934447,1.251971,1.251127,0,0
31381770,0.065000,4,9541,1519.364258,1922.492554,2990,4055,2496,0.139207,0.163160,0.176904,275.843872,1467.785889,0.038681,0.035164,0.927615,1.248236,1.269226,0,0
