frame,dt,system_id,bodies,total_mass,max_r,inner_count,mid_count,outer_count,inner_avg_mass,mid_avg_mass,outer_avg_mass,inner_avg_radius,outer_avg_radius,inner_avg_size,outer_avg_size,inner_osc_ratio,mid_osc_ratio,outer_osc_ratio,merges,elastics
65682780,0.065000,1,9475,1499.992310,1941.445679,2525,6077,873,0.155363,0.147223,0.244001,311.266571,1467.505249,0.042183,0.032720,0.830925,0.607705,0.324453,0,0
65682810,0.065000,1,9475,1499.992310,1942.689087,2519,6079,877,0.155334,0.147242,0.243566,311.087341,1467.755737,0.042186,0.032709,0.819263,0.603162,0.323891,0,0
65682840,0.065000,1,9475,1499.992310,1943.904419,2519,6075,881,0.155341,0.147373,0.242208,311.700928,1468.014526,0.042184,0.032665,0.816929,0.601653,0.323993,0,1
65682870,0.065000,1,9475,1499.992188,1945.060303,2515,6075,885,0.155296,0.147478,0.241223,311.772736,1468.286499,0.042181,0.032627,0.866481,0.602934,0.324703,0,0
65682900,0.065000,1,9475,1499.992432,1946.172607,2511,6076,888,0.155243,0.147690,0.239639,311.819641,1468.760132,0.042177,0.032572,0.854489,0.607483,0.324002,0,0
65682930,0.065000,1,9475,1499.992310,1947.258057,2508,6076,891,0.155233,0.147688,0.239397,311.996277,1469.250610,0.042178,0.032564,0.842589,0.621558,0.325076,0,0
65682960,0.065000,1,9475,1499.992065,1948.303589,2504,6079,892,0.155231,0.147708,0.239201,312.054474,1470.130005,0.042181,0.032559,0.858956,0.618382,0.323540,0,0
65682990,0.065000,1,9475,1499.991699,1949.311279,2500,6081,894,0.155242,0.147740,0.238776,312.141174,1470.807861,0.042179,0.032547,0.897409,0.628061,0.322178,0,0
65683020,0.065000,1,9475,1499.991577,1950.294312,2497,6085,893,0.155228,0.147865,0.238093,312.329681,1472.051880,0.042182,0.032521,0.836671,0.625524,0.320959,0,0
65683050,0.065000,1,9474,1499.991699,1951.263306,2496,6080,898,0.155275,0.147811,0.237998,312.901550,1472.141479,0.042178,0.032529,0.884370,0.641247,0.320379,0,0
65683080,0.065000,1,9474,1499.992065,1952.186768,2492,6083,899,0.155231,0.147858,0.237737,312.824982,1472.998657,0.042176,0.032517,0.881136,0.655283,0.322398,0,0
65683110,0.065000,1,9474,1499.991943,1953.065430,2486,6080,908,0.155229,0.147776,0.237449,312.488464,1472.349854,0.042179,0.032505,0.897121,0.659786,0.322674,0,0
65683140,0.065000,1,9474,1499.991699,1953.932129,2479,6084,911,0.155081,0.147958,0.236396,311.961975,1472.846191,0.042170,0.032471,0.901387,0.647890,0.322732,0,0
65683170,0.065000,1,9474,1499.991943,1954.792358,2475,6083,916,0.155035,0.148061,0.235387,311.730896,1472.978516,0.042168,0.032442,1.122940,0.651789,0.322281,0,0
65683200,0.065000,1,9474,1499.992310,1955.636719,2469,6082,923,0.154970,0.148203,0.234006,311.170197,1472.744263,0.042165,0.032403,0.836328,0.655424,0.324760,0,0
65683230,0.065000,1,9474,1499.992310,1956.429443,2462,6079,933,0.154902,0.148200,0.233336,310.576630,1471.995850,0.042164,0.032392,0.861501,0.660492,0.328619,0,0
65683260,0.065000,1,9474,1499.992554,1957.159790,2448,6088,938,0.154222,0.148511,0.232740,309.063416,1472.176514,0.042166,0.032373,0.833479,0.663606,0.327050,0,0
