frame,dt,system_id,bodies,total_mass,max_r,inner_count,mid_count,outer_count,inner_avg_mass,mid_avg_mass,outer_avg_mass,inner_avg_radius,outer_avg_radius,inner_avg_size,outer_avg_size,inner_osc_ratio,mid_osc_ratio,outer_osc_ratio,merges,elastics
65685300,0.065000,1,9456,1499.950562,1966.221924,1912,5983,1561,0.147409,0.150151,0.204856,222.279465,1462.431152,0.041949,0.033322,0.891181,0.758405,0.543036,0,0
65685330,0.065000,1,9456,1499.950073,1966.065674,1910,5967,1579,0.147389,0.150266,0.203821,221.971512,1461.988647,0.041951,0.033352,0.886988,0.747583,0.554851,0,0
65685360,0.065000,1,9456,1499.949341,1965.864990,1904,5960,1592,0.147441,0.150280,0.203257,220.767960,1462.062378,0.041955,0.033400,0.906208,0.737482,0.560175,0,0
65685390,0.065000,1,9456,1499.949463,1966.867920,1904,5949,1603,0.147427,0.150134,0.203452,220.623901,1462.353882,0.041950,0.033476,0.927191,0.737046,0.563156,0,1
65685420,0.065000,1,9456,1499.951416,1968.199829,1903,5937,1616,0.147422,0.150051,0.203331,220.250961,1462.483276,0.041948,0.033553,0.948376,0.740326,0.568386,0,0
65685450,0.065000,1,9456,1499.949951,1969.458374,1902,5931,1623,0.147412,0.149989,0.203337,219.957581,1463.188599,0.041949,0.033599,0.932171,0.740810,0.569610,0,0
65685480,0.065000,1,9456,1499.949829,1970.624023,1901,5921,1634,0.147296,0.150127,0.202614,219.816879,1463.552124,0.041937,0.033634,0.924962,0.739175,0.576968,0,0
65685510,0.065000,1,9456,1499.947876,1971.803711,1898,5916,1642,0.147282,0.150239,0.201965,218.978149,1464.202637,0.041934,0.033648,0.932368,0.738549,0.587753,0,0
65685540,0.065000,1,9457,1502.347534,1973.583618,1899,5910,1648,0.147339,0.150594,0.201803,220.027496,1465.017456,0.041939,0.033694,0.961610,0.740833,0.597588,0,0
65685570,0.065000,1,9456,1502.348877,1974.752197,1893,5907,1656,0.147448,0.150533,0.201730,219.146286,1465.671753,0.041945,0.033735,0.957656,0.742889,0.590748,0,0
65685600,0.065000,1,9456,1502.348267,1975.904663,1891,5891,1674,0.147450,0.150605,0.200918,218.894562,1465.453369,0.041946,0.033779,0.934019,0.723772,0.589451,0,1
65685630,0.065000,1,9456,1502.348267,1977.055542,1892,5870,1694,0.147425,0.150583,0.200432,219.071503,1465.111694,0.041941,0.033848,0.969001,0.723699,0.595199,0,1
65685660,0.065000,1,9455,1502.347046,1978.177246,1889,5858,1708,0.147352,0.150490,0.200506,218.045563,1465.335205,0.041939,0.033905,1.000757,0.720640,0.599113,0,0
65685690,0.065000,1,9455,1502.346436,1979.287109,1886,5847,1722,0.147354,0.150763,0.199163,217.260818,1465.579468,0.041943,0.033910,0.928322,0.719269,0.612120,0,0
65685720,0.065000,1,9454,1502.345703,1980.360229,1883,5835,1736,0.147488,0.150898,0.198256,216.889740,1465.849854,0.041952,0.033931,1.003453,0.723645,0.620512,0,0
65685750,0.065000,1,9453,1502.345459,1981.457397,1881,5811,1761,0.147540,0.150996,0.197286,216.638641,1465.242310,0.041954,0.033982,0.967731,0.714239,0.638486,0,0
65685780,0.065000,1,9453,1502.345215,1982.520752,1879,5790,1784,0.147537,0.151032,0.196572,216.069580,1464.857300,0.041955,0.034070,0.981964,0.714673,0.672037,0,0
65685810,0.065000,1,9452,1502.346069,1983.553833,1877,5769,1806,0.147537,0.151050,0.196039,215.352844,1464.616821,0.041955,0.034163,0.945614,0.710634,0.687289,0,1
65685840,0.065000,1,9453,1504.747192,1986.526001,1877,5757,1819,0.147537,0.151520,0.195468,215.891296,1464.878540,0.041955,0.034242,0.908408,0.700753,0.704283,0,0
65685870,0.065000,1,9452,1504.747925,1987.511597,1875,5734,1843,0.147638,0.151529,0.194843,215.606964,1464.574219,0.041958,0.034307,0.994182,0.694193,0.720322,0,0
65685900,0.065000,1,9451,1504.745972,1988.394653,1874,5703,1874,0.147716,0.151609,0.193883,215.873642,1463.818481,0.041960,0.034390,0.937632,0.688435,0.738661,0,0
65685930,0.065000,1,9452,1507.147095,1988.743286,1872,5662,1918,0.147714,0.151765,0.193623,216.228333,1462.365845,0.041960,0.034411,0.975671,0.680398,0.740741,0,0
65685960,0.065000,1,9452,1507.145874,1989.569824,1872,5632,1948,0.147714,0.152025,0.192226,216.189041,1461.913330,0.041960,0.034447,0.988233,0.675414,0.741674,0,0
65685990,0.065000,1,9452,1507.146851,1990.399902,1869,5618,1965,0.147699,0.152102,0.191666,215.394073,1462.401367,0.041961,0.034478,0.960768,0.676756,0.743996,0,0
65686020,0.065000,1,9452,1507.146118,1991.210449,1868,5592,1992,0.147710,0.152283,0.190608,214.994858,1462.244629,0.041965,0.034518,0.980210,0.682737,0.758507,0,0
65686050,0.065000,1,9452,1507.146484,1992.050537,1866,5560,2026,0.147700,0.152204,0.190187,214.306610,1461.683228,0.041964,0.034604,0.955729,0.668995,0.783173,0,1
65686080,0.065000,1,9451,1507.144653,1992.883179,1864,5530,2057,0.147764,0.152154,0.189760,213.774963,1461.371704,0.041967,0.034698,0.988701,0.670575,0.798490,0,0
65686110,0.065000,1,9450,1507.144897,1993.686646,1861,5520,2069,0.147806,0.151996,0.189994,212.972305,1462.331909,0.041941,0.034773,1.002949,0.681604,0.791731,0,0
65686140,0.065000,1,9449,1507.143677,1994.443726,1857,5507,2085,0.147940,0.152007,0.189618,211.960007,1463.046387,0.041948,0.034850,0.949518,0.652574,0.810217,0,0
65686170,0.065000,1,9448,1507.144165,1995.216064,1857,5487,2104,0.148072,0.152036,0.189160,211.907578,1463.582642,0.041954,0.034883,0.923970,0.649917,0.813104,0,0
65686200,0.065000,1,9448,1507.144043,1995.925415,1856,5456,2136,0.148058,0.152014,0.188670,211.175064,1463.348145,0.041955,0.034963,1.007109,0.644362,0.828527,0,0
65686230,0.065000,1,9448,1507.142944,1996.562744,1853,5442,2153,0.148036,0.152286,0.187706,210.209274,1464.086670,0.041959,0.034991,0.973772,0.644116,0.828031,0,0
65686260,0.065000,1,9448,1507.142700,1997.973022,1852,5435,2161,0.148022,0.152425,0.187235,209.930481,1465.381592,0.041960,0.035011,0.938778,0.642289,0.840355,0,0
65686290,0.065000,1,9447,1507.141113,1999.880127,1851,5418,2178,0.148246,0.152549,0.186532,209.561142,1466.138794,0.041961,0.035034,0.934198,0.653806,0.877053,0,0
65686320,0.065000,1,9447,1507.140625,2001.730469,1849,5410,2188,0.148220,0.152639,0.186173,208.692429,1467.341431,0.041955,0.035099,0.969166,0.679449,0.862215,0,0
65686350,0.065000,1,9446,1507.139648,2003.597412,1847,5396,2203,0.148287,0.152805,0.185548,207.862152,1468.247925,0.041962,0.035135,0.966347,0.637433,1.009332,0,0
65686380,0.065000,1,9446,1507.139404,2005.400269,1848,5384,2214,0.148273,0.152707,0.185636,207.621918,1469.399780,0.041958,0.035174,0.992221,0.639285,0.942044,0,0
65686410,0.065000,1,9446,1507.138184,2007.083496,1845,5370,2231,0.148227,0.152798,0.185197,206.641495,1470.217163,0.041960,0.035232,1.040051,0.631519,0.918561,0,0
65686440,0.065000,1,9445,1507.137207,2008.810425,1844,5351,2250,0.148308,0.152838,0.184829,206.344803,1470.919800,0.041962,0.035293,1.062802,0.622530,0.911524,0,0
65686470,0.065000,1,9445,1507.137085,2010.489990,1844,5333,2268,0.148293,0.152772,0.184742,205.720016,1471.706909,0.041964,0.035343,0.982498,0.616351,0.916413,0,1
65686500,0.065000,1,9444,1507.137817,2012.091553,1843,5310,2291,0.148639,0.152766,0.184222,204.928940,1472.222656,0.041965,0.035385,0.988353,0.602695,0.939219,0,0
65686530,0.065000,1,9443,1507.136963,2013.692749,1842,5291,2310,0.148761,0.152752,0.183961,204.383606,1472.972778,0.041945,0.035446,1.033904,0.596407,0.985912,0,0
65686560,0.065000,1,9443,1507.137207,2015.243652,1840,5271,2332,0.148865,0.152688,0.183727,203.512421,1473.568726,0.041939,0.035487,1.022626,0.588320,0.966977,0,0
65686590,0.065000,1,9442,1507.136353,2016.750732,1839,5253,2350,0.148946,0.152692,0.183481,203.329483,1474.395752,0.041941,0.035524,0.968014,0.580552,0.966911,0,0
65686620,0.065000,1,9442,1507.135742,2018.251221,1839,5239,2364,0.148946,0.152938,0.182753,202.927216,1475.448730,0.041941,0.035518,1.053789,0.577343,1.032013,0,0
65686650,0.065000,1,9441,1507.135742,2019.722778,1838,5231,2372,0.149027,0.153049,0.182407,202.525589,1476.824341,0.041942,0.035531,0.999014,0.572297,0.971795,0,0
65686680,0.065000,1,9441,1507.136597,2021.149170,1836,5220,2385,0.149037,0.153094,0.182139,201.571762,1477.909424,0.041944,0.035538,1.014702,0.571314,1.132621,0,0
65686710,0.065000,1,9441,1507.137573,2022.557739,1837,5212,2392,0.149074,0.153088,0.182040,201.364304,1479.310425,0.041946,0.035556,1.064034,0.571824,0.966725,0,0
65686740,0.065000,1,9441,1507.137451,2023.903320,1836,5200,2405,0.149097,0.153306,0.181392,200.601883,1480.383911,0.041947,0.035559,1.069658,0.571093,0.944797,0,0
65686770,0.065000,1,9440,1507.136230,2025.243896,1834,5187,2419,0.149202,0.153608,0.180563,199.954178,1481.409424,0.041949,0.035552,1.064046,0.566001,0.944841,0,0
65686800,0.065000,1,9440,1507.135620,2026.534302,1833,5173,2434,0.149179,0.153766,0.180077,199.110046,1482.373901,0.041949,0.035549,1.132600,0.559286,0.958980,0,0
65686830,0.065000,1,9440,1507.135010,2027.808472,1833,5156,2451,0.149179,0.153776,0.179873,198.598007,1483.229858,0.041949,0.035557,1.098818,0.553789,0.952789,0,0
65686860,0.065000,1,9440,1507.133911,2029.070557,1830,5151,2459,0.149239,0.153648,0.180005,197.067825,1484.561157,0.041955,0.035595,1.058371,0.550825,0.949522,0,0
65686890,0.065000,1,9439,1507.134033,2030.298584,1830,5143,2466,0.149239,0.153576,0.180144,196.021622,1485.804443,0.041955,0.035624,1.093531,0.601488,0.950446,0,0
65686920,0.065000,1,9439,1507.133667,2032.009521,1829,5143,2467,0.149243,0.153931,0.179388,195.088882,1487.491211,0.041958,0.035626,0.950080,0.556231,0.951947,0,0
65686950,0.065000,1,9439,1507.134033,2033.871704,1829,5142,2468,0.149243,0.154263,0.178687,194.356110,1489.171753,0.041958,0.035658,0.994331,0.546635,0.974307,0,0
65686980,0.065000,1,9438,1507.133423,2035.697510,1828,5137,2473,0.149324,0.154247,0.178669,193.569687,1490.639893,0.041960,0.035681,0.993884,0.542513,0.994127,0,0
65687010,0.065000,1,9438,1507.134521,2037.502686,1829,5123,2486,0.149301,0.154347,0.178356,193.223297,1491.662476,0.041958,0.035638,0.962858,0.544942,1.002175,0,0
65687040,0.065000,1,9438,1507.134644,2039.219971,1829,5123,2486,0.149301,0.154430,0.178185,192.646393,1493.387695,0.041958,0.035642,1.025140,0.549699,0.988902,0,0
65687070,0.065000,1,9438,1507.134277,2040.823120,1829,5114,2495,0.149483,0.154472,0.177878,192.089081,1494.628296,0.041958,0.035643,1.049522,0.554428,0.975638,0,0
65687100,0.065000,1,9438,1507.134277,2042.325317,1830,5114,2494,0.149642,0.154149,0.178435,192.109390,1496.408325,0.041957,0.035641,1.012412,0.559971,0.969899,0,0
65687130,0.065000,1,9438,1507.134888,2043.780762,1829,5109,2500,0.149666,0.154167,0.178321,191.440186,1497.792847,0.041958,0.035630,1.058726,0.546267,0.950861,0,0
65687160,0.065000,1,9439,1509.534546,2043.034668,1827,5100,2512,0.149612,0.154248,0.178971,189.335648,1499.042847,0.041957,0.035607,1.061521,0.544597,0.937529,0,0
65687190,0.065000,1,9438,1509.534912,2044.455078,1826,5090,2522,0.149694,0.154221,0.178928,188.684952,1500.185425,0.041952,0.035602,1.048465,0.545057,0.925551,0,0
65687220,0.065000,1,9438,1509.534424,2045.837036,1827,5089,2522,0.149729,0.154140,0.179068,188.225677,1501.857910,0.041954,0.035618,1.068988,0.559405,0.978545,0,0
65687250,0.065000,1,9438,1509.533936,2047.141357,1826,5083,2529,0.149668,0.154022,0.179279,187.136719,1503.136719,0.041948,0.035633,1.014359,0.542618,0.913153,0,0
65687280,0.065000,1,9438,1509.533936,2048.357666,1827,5081,2530,0.149619,0.154225,0.178898,186.833893,1504.727295,0.041940,0.035619,1.063703,0.556039,0.892088,0,0
65687310,0.065000,1,9438,1509.534912,2049.590332,1825,5082,2531,0.149634,0.154415,0.178491,185.782043,1506.296021,0.041943,0.035612,1.075771,0.546167,0.883178,0,0
65687340,0.065000,1,9436,1509.535522,2050.786377,1822,5071,2543,0.149746,0.154484,0.178276,185.272781,1507.244751,0.041877,0.035615,1.071346,0.539253,0.891416,0,0
