frame,dt,system_id,bodies,total_mass,max_r,inner_count,mid_count,outer_count,inner_avg_mass,mid_avg_mass,outer_avg_mass,inner_avg_radius,outer_avg_radius,inner_avg_size,outer_avg_size,inner_osc_ratio,mid_osc_ratio,outer_osc_ratio,merges,elastics
32617620,0.065000,3,6147,857.296021,1084.089478,1739,3799,609,0.137923,0.122294,0.250974,291.236816,836.224792,0.038126,0.031717,0.712803,0.740798,0.339006,0,0
32617650,0.065000,3,6147,857.296204,1085.292725,1735,3807,605,0.137679,0.122426,0.251796,292.505676,838.250183,0.038089,0.031745,0.681793,0.752723,0.339392,0,0
32617680,0.065000,3,6147,857.296143,1086.344727,1732,3812,603,0.137673,0.122403,0.252463,293.800568,839.908264,0.038064,0.031659,0.671335,0.840142,0.339677,0,0
32617710,0.065000,3,6147,857.296265,1087.250000,1724,3817,606,0.137742,0.122166,0.253320,294.904724,840.625488,0.038063,0.031589,0.662139,0.763585,0.340151,0,0
32617740,0.065000,3,6147,857.296265,1088.359375,1720,3821,606,0.137831,0.122249,0.252645,296.186890,841.921387,0.038072,0.031563,0.663456,0.751243,0.339162,0,0
32617770,0.065000,3,6147,857.295959,1089.976074,1724,3819,604,0.137591,0.122286,0.253422,297.795105,843.603882,0.038040,0.031592,0.675426,0.749299,0.338728,0,0
32617800,0.065000,3,6147,857.295959,1091.542725,1715,3830,602,0.137518,0.122304,0.254184,298.925171,845.291321,0.038024,0.031605,0.678465,0.750182,0.338172,0,0
32617830,0.065000,3,6147,857.296021,1093.888916,1723,3821,603,0.137213,0.122221,0.255162,300.711639,846.391968,0.037975,0.031644,0.691540,0.753925,0.337848,0,0
32617860,0.065000,3,6147,857.295959,1096.259277,1729,3818,600,0.137033,0.122312,0.255612,302.416016,848.264954,0.037942,0.031656,0.699095,0.758415,0.337544,0,0
32617890,0.065000,3,6147,857.296021,1098.515137,1733,3819,595,0.136786,0.122825,0.254063,304.046692,850.536438,0.037904,0.031586,0.686756,0.763874,0.337102,0,0
32617920,0.065000,3,6146,857.296143,1100.618164,1734,3817,595,0.136677,0.122793,0.254769,305.591431,851.824524,0.037885,0.031615,0.683264,0.769499,0.337099,0,0
32617950,0.065000,3,6145,857.296143,1102.563232,1731,3825,589,0.136851,0.123040,0.254273,306.992157,854.318237,0.037876,0.031583,0.694598,0.769870,0.336835,0,0
32617980,0.065000,3,6145,857.296265,1104.364380,1738,3823,584,0.136793,0.122910,0.256255,308.723541,856.638733,0.037843,0.031655,0.696481,0.770770,0.338950,0,0
