frame,dt,system_id,bodies,total_mass,max_r,inner_count,mid_count,outer_count,inner_avg_mass,mid_avg_mass,outer_avg_mass,inner_avg_radius,outer_avg_radius,inner_avg_size,outer_avg_size,inner_osc_ratio,mid_osc_ratio,outer_osc_ratio,merges,elastics
31370010,0.065000,4,9744,1470.370483,1727.999390,5747,3200,797,0.144821,0.128450,0.284831,233.219360,1331.837158,0.039355,0.034175,0.650094,0.598247,0.311018,0,0
31370040,0.065000,4,9744,1470.370239,1729.679321,5744,3210,790,0.144969,0.128254,0.285998,233.569351,1333.456055,0.039367,0.034213,0.661021,0.598344,0.311292,0,1
31370070,0.065000,4,9741,1470.369263,1731.328491,5744,3209,788,0.144969,0.128193,0.287137,234.413177,1333.947754,0.039368,0.034252,0.673823,0.598081,0.313322,1,0
31370100,0.065000,4,9733,1470.369263,1732.944092,5738,3208,787,0.145055,0.128378,0.287389,235.400986,1334.211304,0.039377,0.034257,0.687357,0.597937,0.315292,1,0
31370130,0.065000,4,9720,1470.371338,1734.528809,5723,3215,782,0.145483,0.128330,0.287929,236.346710,1335.390625,0.039399,0.034272,0.704229,0.597850,0.313868,0,0
31370160,0.065000,4,9704,1470.371460,1736.084473,5712,3215,777,0.145918,0.128244,0.289001,237.840576,1336.585205,0.039417,0.034306,0.720496,0.597426,0.315484,1,0
31370190,0.065000,4,9689,1470.263672,1737.607788,5703,3214,772,0.146268,0.128210,0.290153,239.413773,1337.783325,0.039423,0.034348,0.746528,0.597116,0.315523,0,0
31370220,0.065000,4,9674,1470.262939,1739.105347,5685,3222,767,0.146550,0.128530,0.290709,240.495911,1338.996094,0.039439,0.034363,0.817572,0.598520,0.314876,2,0
31370250,0.065000,4,9668,1472.662598,1740.162598,5684,3219,765,0.147213,0.128164,0.291915,241.983566,1339.507080,0.039433,0.034406,0.877182,0.597692,0.316534,1,0
31370280,0.065000,4,9658,1472.666992,1741.593628,5679,3211,768,0.147363,0.128183,0.291885,243.587677,1338.861694,0.039430,0.034401,0.882018,0.597028,0.319971,0,0
31370310,0.065000,4,9651,1472.663696,1743.002441,5671,3218,762,0.147683,0.128405,0.291232,244.793777,1340.332275,0.039443,0.034374,0.862647,0.598403,0.316208,0,0
31370340,0.065000,4,9646,1476.292480,1744.416992,5667,3217,762,0.148540,0.128629,0.289627,246.151443,1340.424072,0.039418,0.034315,0.861712,0.599322,0.314828,0,0
31370370,0.065000,4,9641,1476.290039,1745.754883,5667,3214,760,0.148641,0.128726,0.289739,247.653702,1340.985718,0.039408,0.034317,0.897818,0.598528,0.316156,0,0
31370400,0.065000,4,9634,1476.182373,1747.062134,5672,3203,759,0.148875,0.128500,0.290077,249.641663,1341.323730,0.039403,0.034329,0.921766,0.597643,0.315881,0,0
