frame,dt,system_id,bodies,total_mass,max_r,inner_count,mid_count,outer_count,inner_avg_mass,mid_avg_mass,outer_avg_mass,inner_avg_radius,outer_avg_radius,inner_avg_size,outer_avg_size,inner_osc_ratio,mid_osc_ratio,outer_osc_ratio,merges,elastics
65692560,0.065000,1,9410,1511.927856,2491.951660,2182,6083,1145,0.155459,0.161993,0.163635,232.749481,1810.087280,0.040826,0.035615,0.947540,0.589521,0.558502,0,1
65692590,0.065000,1,9410,1511.927979,2494.260254,2190,6093,1127,0.155630,0.162023,0.163214,234.572861,1813.087646,0.040810,0.035603,0.999593,0.599327,0.547005,0,1
65692620,0.065000,1,9410,1511.928223,2496.653564,2197,6105,1108,0.155472,0.162500,0.160960,235.803696,1816.288330,0.040795,0.035558,1.036119,0.611998,0.540775,0,1
65692650,0.065000,1,9410,1511.927856,2498.975098,2202,6112,1096,0.155259,0.162622,0.160726,236.798157,1818.567139,0.040767,0.035550,1.132197,0.607173,0.521484,0,0
65692680,0.065000,1,9410,1511.927979,2501.364990,2208,6126,1076,0.155310,0.162683,0.160278,237.723343,1821.987061,0.040743,0.035544,1.033381,0.622516,0.516343,0,0
65692710,0.065000,1,9410,1511.928223,2503.662109,2215,6131,1064,0.155128,0.162769,0.160180,238.859146,1824.312500,0.040702,0.035553,0.968393,0.646423,0.514175,0,1
65692740,0.065000,1,9410,1511.928589,2505.881104,2221,6148,1041,0.155213,0.162826,0.159651,239.940567,1828.330322,0.040679,0.035530,1.066247,0.610330,0.507294,0,5
65692770,0.065000,1,9409,1511.928345,2508.232178,2226,6160,1023,0.155234,0.162965,0.158908,240.678345,1831.691895,0.040655,0.035562,1.015027,0.614444,0.505718,0,1
65692800,0.065000,1,9409,1511.928589,2510.476074,2232,6173,1004,0.155358,0.162932,0.158804,241.780106,1835.302979,0.040636,0.035545,1.066978,0.612495,0.502214,0,0
65692830,0.065000,1,9409,1511.929077,2512.822510,2236,6188,985,0.155514,0.163059,0.157607,242.016571,1839.014526,0.040623,0.035533,1.042658,0.611562,0.483292,0,1
65692860,0.065000,1,9409,1511.928955,2515.111572,2244,6192,973,0.155409,0.163208,0.156895,243.149628,1841.656616,0.040590,0.035498,1.082511,0.627041,0.482297,0,0
65692890,0.065000,1,9409,1511.928955,2517.337402,2248,6206,955,0.155272,0.163443,0.155600,243.443359,1845.385498,0.040572,0.035448,1.054859,0.614405,0.474594,0,0
65692920,0.065000,1,9409,1511.928711,2519.561035,2252,6213,944,0.155090,0.163471,0.155793,243.363449,1847.964600,0.040549,0.035431,1.012897,0.606283,0.468612,0,0
65692950,0.065000,1,9409,1511.929077,2521.675537,2257,6221,931,0.154866,0.163649,0.155087,243.763870,1850.934937,0.040520,0.035437,1.045627,0.607319,0.453775,0,1
65692980,0.065000,1,9409,1511.928223,2523.770508,2263,6224,922,0.154944,0.163711,0.154454,244.292557,1853.205933,0.040497,0.035392,1.016484,0.609908,0.459398,0,0
65693010,0.065000,1,9408,1511.928467,2525.892822,2273,6214,921,0.154880,0.163784,0.154378,246.103821,1853.985962,0.040464,0.035413,1.024087,0.614818,0.461284,0,0
65693040,0.065000,1,9408,1511.928467,2528.030518,2282,6210,916,0.154688,0.163826,0.154611,247.205902,1855.496094,0.040436,0.035420,1.032130,0.636380,0.464531,0,1
65693070,0.065000,1,9408,1511.929077,2530.221924,2284,6212,912,0.154648,0.163900,0.154186,246.132141,1856.808350,0.040430,0.035390,1.015311,0.673616,0.464078,0,0
65693100,0.065000,1,9408,1511.929810,2532.188477,2290,6212,906,0.154436,0.163947,0.154397,246.622238,1858.497559,0.040404,0.035387,1.016350,0.634938,0.450758,0,1
65693130,0.065000,1,9408,1511.930054,2534.214600,2295,6213,900,0.154219,0.164024,0.154406,247.145813,1860.161499,0.040379,0.035401,1.017676,0.631979,0.437617,0,0
65693160,0.065000,1,9408,1511.929443,2536.248535,2303,6214,891,0.154152,0.164144,0.153733,248.049469,1862.405273,0.040352,0.035396,1.028816,0.639668,0.432715,0,1
65693190,0.065000,1,9408,1511.928955,2538.246582,2309,6216,883,0.154185,0.164122,0.153771,248.260605,1864.465942,0.040337,0.035399,1.018432,0.643098,0.425344,0,2
65693220,0.065000,1,9408,1511.929565,2539.940186,2311,6221,876,0.154267,0.164228,0.152742,248.136337,1866.317505,0.040332,0.035363,1.021611,0.645762,0.418876,0,0
